online_txn_id,account_id,transaction_date,transaction_time,amount,currency,transaction_type,beneficiary_account,beneficiary_name,beneficiary_bank,ifsc_code,purpose,status,ip_address,device_id,failure_reason
ONL001,ACC001,2024-01-05,10:23:45,5000.00,INR,NEFT,9876543210,Amazon India,HDFC Bank,HDFC0001111,Shopping,Success,192.168.1.1,DEV001,
ONL002,ACC002,2024-01-06,14:15:30,25000.00,INR,RTGS,8765432109,Vendor ABC,ICICI Bank,ICIC0002222,Vendor Payment,Success,10.0.0.1,DEV002,
ONL003,ACC003,2024-01-07,09:45:00,2000.00,INR,UPI,7654321098,Swiggy,Axis Bank,AXIX0003333,Food,Success,172.16.0.1,DEV003,
ONL004,ACC004,2024-01-08,16:30:00,NULL,INR,IMPS,6543210987,Unknown,SBI,SBIN0004444,Transfer,Failed,999.999.999.999,DEV004,Invalid Amount
ONL005,ACC006,2024-01-09,22:00:00,750000.00,INR,NEFT,5432109876,Suspicious Entity,Unknown Bank,UNKN0005555,Unknown,Success,45.33.22.11,DEV005,Suspicious IP
ONL006,ACC007,2024-01-10,08:00:00,15000.00,INR,UPI,4321098765,MakeMyTrip,HDFC Bank,HDFC0001111,Travel,Success,192.168.1.2,DEV006,
ONL007,ACC008,2024-01-11,13:10:00,3000.00,INR,NEFT,3210987654,Apollo Pharmacy,ICICI Bank,ICIC0002222,Medicine,Success,10.0.0.2,DEV007,
ONL008,ACC009,2024-01-12,03:15:00,500000.00,INR,RTGS,2109876543,Unknown Offshore,Foreign Bank,FORE0006666,Unknown,Success,89.44.55.66,DEV008,Suspicious Night
ONL009,ACC010,2024-01-13,17:25:00,1000.00,INR,UPI,1098765432,Local Store,Axis Bank,AXIX0003333,Shopping,Success,192.168.1.3,DEV009,
ONL010,ACC011,2024-01-14,12:00:00,45000.00,INR,NEFT,0987654321,Crypto Exchange,Unknown Bank,UNKN0007777,Crypto,Success,156.78.90.12,DEV010,High Risk
ONL011,ACC001,2024-01-05,10:23:45,5000.00,INR,NEFT,9876543210,Amazon India,HDFC Bank,HDFC0001111,Shopping,Success,192.168.1.1,DEV001,Duplicate
ONL012,ACC012,2024-01-15,09:00:00,50000.00,INR,NEFT,9876543211,Investment Co,HDFC Bank,HDFC0001111,Investment,Success,192.168.1.4,DEV011,
ONL013,ACC013,2024-01-16,14:45:00,200000.00,INR,RTGS,8765432110,Real Estate Co,ICICI Bank,ICIC0002222,Property,Success,10.0.0.3,DEV012,
ONL014,ACC014,2024-01-17,11:30:00,500.00,INR,UPI,7654321097,Zomato,Axis Bank,AXIX0003333,Food,Success,172.16.0.2,DEV013,
ONL015,ACC015,2024-01-18,16:15:00,1000.00,INR,IMPS,6543210986,Netflix,SBI,SBIN0004444,Entertainment,Success,192.168.1.5,DEV014,
