transaction_id,account_id,transaction_type,amount,currency,transaction_date,transaction_time,description,merchant_id,channel,reference_number,status,balance_after,remarks,device_type
TXN061,ACC001,Debit,5000.00,INR,2024-04-19,09:00:00,Shopping,M001,NET_BANKING,REF061,Success,130500.50,,Mobile
TXN062,ACC003,Credit,NULL,INR,2024-04-19,10:00:00,Salary,,NEFT,REF062,Success,106500.75,,Web
TXN063,ACC005,Debit,NULL,INR,2024-04-19,11:00:00,Grocery,M005,UPI,REF063,Success,317200.00,,Mobile
TXN064,ACC007,Debit,-2500.00,INR,2024-04-19,12:00:00,Food,M004,UPI,REF064,Success,2647500.00,,POS
TXN065,,Debit,15000.00,INR,2024-04-19,13:00:00,Transfer,,NEFT,REF065,Success,,,Mobile
TXN066,ACC009,Debit,NULL,INR,2024-04-19,14:00:00,Shopping,M002,NET_BANKING,REF066,Success,61200.75,,Web
TXN067,ACC011,Credit,8000.00,INR,2024-04-19,15:00:00,Transfer,,IMPS,REF067,Success,70000.75,,Mobile
TXN068,ACC012,Debit,NULL,INR,2024-04-19,16:00:00,Medicine,M011,UPI,REF068,Success,175000.00,,Mobile
TXN069,ACC014,Debit,-500.00,###,2024-04-19,17:00:00,Food,M004,UPI,REF069,Success,7000.50,,Mobile
TXN070,ACC016,Debit,NULL,INR,2024-04-19,18:00:00,Petrol,M012,DEBIT_CARD,REF070,Success,143200.75,,POS
TXN061,ACC001,Debit,5000.00,INR,2024-04-19,09:00:00,Shopping,M001,NET_BANKING,REF061,Success,130500.50,,Mobile
TXN071,ACC002,Debit,NULL,INR,2024-04-19,19:00:00,Entertainment,M013,NET_BANKING,REF071,Success,670500.00,,Web
TXN072,ACC004,Credit,NULL,INR,2024-04-19,20:00:00,Salary,,NEFT,REF072,Success,108000.25,,Mobile
TXN073,,Debit,3000.00,INR,2024-04-19,21:00:00,Grocery,M005,UPI,REF073,Success,,,Mobile
TXN074,ACC007,Debit,NULL,INR,2024-04-19,22:00:00,Transfer,,NEFT,REF074,Success,2644500.00,,Web
TXN075,ACC009,Credit,12000.00,INR,2024-04-19,23:00:00,Business,,RTGS,REF075,Success,73200.75,,Mobile
